pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
two-triangles,vertical-parallelepiped,720,10,True,64,2552,507,507,0,1.5645871688464117,13.719065033094765,24.06320351852984,13.539858270130859,1.8137856894725926,13.539844768798517,0.000966334177316952,6,1,0.06248661727958609,0.03562044647823921,0.15016974407774544,2.4032304934324675,True,True,8.589173538689256e-15,5.4978463891955944e-15,6.59905956622068e-15,True,0.07288895336558138,0.4431883781158899,True,A-C|B-D|C-E|D-A|E-F|F-B
hexagon,rectangle-same,180,10,True,20,616,112,112,0,1.9307239287302476,14.628295182230769,22.039634076868772,14.129817956015527,2.224913939584934,14.129481350114837,0.0015277690285024903,1,1,0.061604159193822124,0.0417988690366025,0.14687758731781395,2.39907368920932,True,True,8.255659116144272e-15,4.311326371230795e-15,7.040480975239257e-15,True,0.14865685688088548,0.36945378526400835,True,A-C|B-A|C-D|D-C|E-B|F-A
horizzontal-parallelepiped,base-trapezoid,360,10,True,40,1129,233,233,0,2.263756818413083,14.664705620243431,22.05507821347252,14.53453201943273,1.9481841063656349,14.534529756841032,0.0011903014554324187,3,1,0.06137914328933492,0.04023180874080313,0.14813340840042175,2.413416031275253,True,True,1.112884370092863e-14,6.466036496704424e-15,9.057678187205881e-15,True,0.1495709662609017,0.4341882410243255,True,A-A|B-E|C-B|D-B|E-C|F-D
horizzontal-parallelepiped,pentagon,360,10,True,0,1295,260,260,0,1.664063612668771,13.91693545024611,23.712826267380432,13.75215837123391,1.961812442053087,13.752150278359755,0.0012890178861635349,2,1,0.06134500519391002,0.045546529697013255,0.14800053842259983,2.412593135411332,True,True,7.368519249161352e-15,7.202277360712519e-15,1.5563665200168271e-15,True,0.157459819232402,0.3581303928054846,True,A-A|B-E|C-D|D-B|E-C|F-E
arrow,rectangle-opposite,78,10,True,8,435,56,56,0,1.5849696848420638,13.451504796221293,23.38317153856506,13.244701976818051,1.8192611261594676,13.244699897619782,0.0010100690183580951,2,1,0.06122393561010262,0.05658223310342105,0.146827488230366,2.398204015589907,True,True,5.634860374059478e-15,3.9968028886505635e-15,3.972054645195637e-15,True,0.17415604928405728,0.32651322683833955,True,A-A|B-D|C-A|C-D|D-C|E-B
rectangle-opposite,pentagon,78,10,True,0,374,50,50,0,2.2323442738363743,13.778942439410347,23.34155342473389,13.5230400686754,2.125152119987411,13.523020784682961,0.0013169657334772822,1,1,0.06120852105848309,0.07120969408164526,0.1462018944956473,2.388587274571711,True,True,4.0412728104402654e-15,3.447059237218225e-15,2.1094237467877974e-15,True,0.06283121806132218,0.3581303928054846,True,A-A|A-C|B-E|C-D|D-B|D-E
horizzontal-parallelepiped,hexagon,720,10,True,96,1779,495,495,0,1.5332893909367074,13.879972322807104,23.855458108836242,13.766332333017717,1.5297441516613188,13.766332262575252,0.001043855585177056,3,1,0.06102639797517821,0.0312895861059704,0.1476491758230067,2.419431274365256,True,True,1.0626203668158134e-14,8.714770783419688e-15,6.08021172243467e-15,True,0.13717021668898333,0.39300248433366436,True,A-C|B-B|C-F|D-D|E-E|F-A
horizzontal-parallelepiped,rectangle-opposite,180,10,True,28,574,107,107,0,1.7837426304277193,13.584349497019348,23.152039580786106,13.2151461971077,2.6873141043497415,13.215142727337472,0.0015514979190429656,3,1,0.06080716968644633,0.055252385099169105,0.1453223724587434,2.389888778052026,True,True,6.233692545031403e-15,2.5136448447649394e-15,5.7044291861996796e-15,True,0.07463135630357431,0.32651322683833955,True,A-A|B-C|C-D|D-B|E-D|F-A
two-triangles,horizzontal-parallelepiped,720,10,True,72,2641,480,480,0,1.5549796956163173,13.77212878753427,23.843097033138694,13.583831186290931,1.8005792782261443,13.583829488912713,0.0009879461341597562,1,1,0.060506335387291874,0.039124640315953044,0.14592718046380518,2.4117669584473664,True,True,6.691799632605305e-15,3.609505629278167e-15,5.634860374059478e-15,True,0.07593647992733599,0.49625046035832693,True,A-B|B-A|C-F|D-D|E-E|F-C
pyramid,rectangle-same,180,10,True,24,450,121,121,0,2.422525795836776,15.975453460078128,22.615058300174873,15.001828689901197,4.724643903817352,15.001517879632711,0.006024002242448034,1,1,0.06049597055233223,0.0696569947862271,0.1523343739089508,2.5180912467082988,True,True,2.1199882353970868e-14,1.5504315220309675e-14,1.4458603714449024e-14,True,0.1266874534932104,0.32651322683833955,True,A-A|B-D|C-C|D-A|E-B|F-C
2X3,rectangle-same,180,10,True,60,145,106,106,0,3.7071729905965367,14.851433201648184,21.794468065666933,14.686804902996133,2.121249919756862,14.686696728677344,0.001460742990678554,1,1,0.06010550396805678,0.09961943886633136,0.1427548911867941,2.3913096658262196,True,True,8.900556293272466e-15,6.7869654348719805e-15,5.7582117463293314e-15,True,0.1266874534932104,0.32651322683833955,True,A-D|B-A|C-C|D-A|E-C|F-B
arrow,pentagon,168,10,True,0,691,119,119,0,1.9519018376175992,13.957383304847742,23.443826704550037,13.83524848020398,1.7716106698704968,13.835219700146236,0.0010478878706532413,1,1,0.05938039538133976,0.038370800465728584,0.1428241433396467,2.405240693034002,True,True,4.741575244451873e-15,3.820199830714189e-15,2.808666774861361e-15,True,0.1187653942992405,0.3581303928054846,True,A-E|B-C|C-A|C-D|D-E|E-B
