pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
rectangle-opposite,pyramid,180,10,True,10,541,122,122,0,1.9292939678178174,12.855645669684032,25.44124114681667,12.539636361629597,2.0868549145668887,12.539636361629597,0.014574259795196554,2,1,0.07232202358695859,0.05985498519177075,0.1729882237959339,2.3919162547759223,True,True,1.1029002427274638e-14,5.018331649642332e-15,9.821162965506066e-15,True,0.07227321763638558,0.4182034220705242,True,A-A|A-E|B-C|C-B|D-D|D-F
vertical-parallelepiped,rectangle-opposite,180,10,True,28,564,107,107,0,1.792881213135989,13.6543441788718,23.654089589254696,13.248975946069105,2.841560385837284,13.248967344339992,0.012002925328019387,2,1,0.07081517882699628,0.0673873834827506,0.16893695605254863,2.385603748389409,True,True,1.2860419492855609e-14,1.2736634154583958e-14,1.7800393098203986e-15,True,0.12466421747600853,0.3926817942954417,True,A-C|B-D|C-D|D-A|E-A|F-B
vertical-parallelepiped,central-parallelepiped,360,10,True,76,967,223,223,0,1.601956554498902,13.82847104992077,23.823143159430927,13.505522768890506,2.324212454243763,13.505446112923657,0.011160249164749558,1,1,0.07037160584580698,0.04888918261954693,0.16951181889431358,2.4088098723473106,True,True,1.2499319094760646e-14,9.86229460092324e-15,7.679070453983893e-15,True,0.12466421747600853,0.42339245367800304,True,A-D|B-C|C-E|D-C|E-A|F-B
central-trapezoid,horizzontal-parallelepiped,360,10,True,16,1195,255,255,0,1.5554971244002231,13.784248743204216,23.57748783711582,13.583339884798907,2.024177747317716,13.583310277736093,0.012892109381164474,3,1,0.06957561488128962,0.02901465494065595,0.16756920454728577,2.4084473393902948,True,True,1.7077981091866764e-14,1.147994228985866e-14,1.2643906168414625e-14,True,0.1451829690197578,0.4652866157331114,True,A-B|B-D|C-E|D-A|D-C|E-F
rectangle-same,rectangle-opposite,34,10,True,14,37,16,16,0,6.9945864867966305,15.408063589450354,25.955401897242957,13.194375656092435,6.828923264569139,13.194168498200519,0.08653141644132667,1,1,0.06951061711259288,0.09809974775030891,0.17976957937172086,2.58621757134642,True,True,1.5538760142168678e-14,1.1850298185319396e-14,1.0051044705644574e-14,True,0.2761535478900629,0.3926817942954417,True,A-A|A-B|B-D|C-C|C-D|D-A
central-parallelepiped,rectangle-same,78,10,True,26,165,35,35,0,1.7269379649206205,14.63216376008581,20.618312639090504,14.093590362696144,3.0394006695664983,14.093544391146937,0.015513778225074049,1,1,0.06909441773567303,0.052825214477683506,0.1669633731731511,2.4164524232896016,True,True,8.399811229939352e-15,7.341126757918118e-15,4.082240392577815e-15,True,0.08546886265131835,0.41981971932396717,True,A-A|B-A|C-B|C-D|D-C|E-C
parallelepiped-ext,pentagon,78,10,True,0,376,43,43,0,2.2064747554496758,13.961428879081295,23.365432623894076,13.75535503734367,2.1566371676797202,13.755325053039561,0.020124010494507516,2,1,0.06867432165452644,0.029279093044599868,0.16964045945533548,2.502047123468315,True,True,1.552447527282849e-14,1.0986160316453369e-14,1.0968756264857396e-14,True,0.1137863087014152,0.36546912557127215,True,A-B|A-E|B-D|C-C|D-A|D-E
central-parallelepiped,vertical-parallelepiped,360,10,True,76,1180,172,172,0,1.5500885545525718,13.867787356392185,23.895530645365387,13.545926954335062,2.227795139408593,13.545903468558457,0.012006228365401661,1,1,0.0680338901899311,0.04888918261954705,0.16388626197572168,2.4088915321202164,True,True,1.1239054784478743e-14,7.872412899894526e-15,8.021313332746002e-15,True,0.05194102651214602,0.41981971932396717,True,A-B|B-D|C-A|C-C|D-E|E-F
hexagon,pyramid,720,10,True,0,1990,566,566,0,1.7778194848694842,12.928322825828424,25.885731856640888,12.707890866757001,1.7286406809938684,12.707888737352217,0.012064055335824442,1,1,0.06674076892725107,0.02783715713700321,0.16044046048658983,2.403934852196167,True,True,4.549290404270235e-15,4.284080064381688e-15,1.5305885091534674e-15,True,0.06047493661516633,0.36945378526400835,True,A-E|B-F|C-C|D-D|E-A|F-B
vertical-parallelepiped,rectangle-same,180,10,True,32,472,108,108,0,2.2725170150156395,14.501434835524348,21.290551419072237,14.173064411737238,2.715584970012366,14.173018378373955,0.013987835599502674,1,1,0.06651583850020336,0.06371917643815025,0.15864188454706507,2.4004431888250335,True,True,2.9360309163567414e-14,1.330045330038837e-14,2.617490584862625e-14,True,0.13651573070173903,0.4182034220705242,True,A-D|B-C|C-A|D-C|E-A|F-B
hexagon,rectangle-opposite,180,10,True,24,630,114,114,0,1.7703008896874264,13.600494156208393,23.301489236262487,13.345883855648992,2.0287402690634435,13.345874277230653,0.012544629071555846,1,1,0.06637197002330822,0.05432310776832789,0.15926117761616587,2.399524642107764,True,True,7.024299568728933e-15,6.114295653343033e-15,3.457769959779852e-15,True,0.051927234131438064,0.4472121987926965,True,A-A|B-D|C-B|D-A|E-C|F-D
rectangle-same,2X3,180,10,True,60,142,106,106,0,2.333040912286516,15.321396045691356,26.48820741329272,13.442503653001424,6.420606432710353,13.441267287234385,0.09982492723317016,1,1,0.06636384200970773,0.09762930858610257,0.1706864994166224,2.5879781185564807,True,True,9.118033989808779e-15,6.5002586283855235e-15,6.39415214109015e-15,True,0.18766536013371668,0.32651322683833955,True,A-A|A-E|B-C|C-B|C-F|D-D
parallelepiped-int,pentagon,78,10,True,0,345,45,45,0,1.887708379737452,14.055722590584764,23.461406312127284,13.790008777310117,2.1486114950556354,13.790007913100135,0.01917605104710951,2,1,0.06608864179607814,0.022289216650803648,0.1581353903172613,2.3927771250799927,True,True,8.992121150493565e-15,5.617333549722722e-15,7.021666937153402e-15,True,0.059968622859296404,0.42433497590705954,True,A-B|B-C|B-E|C-A|C-D|D-E
vertical-parallelepiped,pentagon,360,10,True,0,1714,242,242,0,1.5626277691319888,13.922131928155117,23.668889937032475,13.691576182027845,1.9736925903619942,13.691541555088111,0.012870362696292048,2,1,0.06604102471359283,0.044341467650602956,0.15889087537549745,2.4059420044521795,True,True,1.482220503515087e-14,8.89287949701369e-15,1.1858096658218189e-14,True,0.08372800182256722,0.3581303928054846,True,A-D|B-E|C-E|D-B|E-A|F-C
