pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
base-trapezoid,rectangle-same,78,10,True,18,140,47,47,0,2.5909351908845255,16.348077642489763,23.503003865416403,13.977938517699481,6.666990495402638,13.97499936225145,0.08646374341245888,1,1,0.0716834539880307,0.074787634283528,0.18476360155933402,2.5774930096167634,True,True,1.2537166161668537e-14,1.1512108063996359e-14,4.965068306494546e-15,True,0.06417136132970501,0.4652866157331114,True,A-B|B-A|B-C|C-D|D-A|E-C
horizzontal-parallelepiped,2X3,720,10,True,168,1546,442,442,0,1.626505108777853,13.648717989323423,23.86513084546397,13.292485045424666,2.653854855647099,13.29244818665683,0.011966350502104817,1,1,0.07123315456286541,0.05764461762881021,0.1715457028122393,2.408228357496719,True,True,6.936895214610187e-15,3.972054645195637e-15,5.687116766346677e-15,True,0.1695960347742556,0.49625046035832693,True,A-D|B-F|C-C|D-B|E-A|F-E
vertical-parallelepiped,central-parallelepiped,360,10,True,76,967,223,223,0,1.601956554498902,13.82847104992077,23.823143159430927,13.505522768890506,2.324212454243763,13.505446112923657,0.011160249164769098,1,1,0.07037160584580698,0.04888918261954693,0.16951181889431358,2.4088098723473106,True,True,9.025172592474797e-15,3.902003558218231e-15,8.138065406201311e-15,True,0.12466421747600853,0.42339245367800304,True,A-D|B-C|C-E|D-C|E-A|F-B
rectangle-opposite,pyramid,180,10,True,10,541,122,122,0,1.9292939678178174,12.855645669684032,25.44124114681667,12.539636361629597,2.086854914566899,12.539636361629597,0.014574259795216093,3,1,0.07035476550943466,0.05630645647472626,0.169676839564761,2.411732003314077,True,True,1.0525046389742766e-14,6.886082236494398e-15,7.95980357411372e-15,True,0.18204014879660296,0.4182034220705242,True,A-A|A-E|B-B|C-C|D-D|D-F
two-triangles,rectangle-opposite,180,10,True,28,710,100,100,0,1.8933404917173906,13.604654418647781,23.736412994961505,13.390731706896489,1.8586147500800836,13.390725435069019,0.013582219753374147,2,1,0.0698889565502984,0.060400101468632325,0.167316125531864,2.3940280952892494,True,True,5.634860374059478e-15,4.351167857633658e-15,3.580361673049448e-15,True,0.0682571759871168,0.41302574003819187,True,A-A|B-B|C-D|D-D|E-A|F-C
central-parallelepiped,vertical-parallelepiped,360,10,True,76,1180,172,172,0,1.5500885545525722,13.867787356392185,23.895530645365387,13.545926954335062,2.227795139408593,13.545903468558457,0.012006228365417648,1,1,0.0680338901899311,0.04888918261954705,0.16388626197572168,2.4088915321202164,True,True,7.188211828540968e-15,4.782987168225453e-15,5.365950338995594e-15,True,0.05194102651214602,0.41981971932396717,True,A-B|B-D|C-A|C-C|D-E|E-F
parallelepiped-int,rectangle-same,34,10,True,6,100,19,19,0,2.0673359083054024,14.725715767756586,20.658547940147745,14.504753633711896,1.8551285103112294,14.5047152660275,0.01687307114232528,2,1,0.06777703446058507,0.038340387308028544,0.1629367077018019,2.4040105767176314,True,True,1.0630349226291202e-14,5.617333549722722e-15,9.024959194593041e-15,True,0.08446371459322005,0.41302574003819187,True,A-A|B-B|B-C|C-A|C-D|D-C
rhombus-ext,rectangle-same,34,10,True,14,56,14,14,0,1.9943653729130972,15.005626055059148,20.799825124697506,14.779982511648988,1.1214863926381233,14.776192429131047,0.011525761455651207,1,1,0.06747851126023864,0.05235597490673653,0.16265203581748064,2.4104271534710415,True,True,5.687116766346677e-15,5.329070518200751e-15,1.9860273225978185e-15,True,0.2836895103023786,0.4633533918727237,True,A-B|A-C|B-A|C-A|D-C|D-D
hexagon,pyramid,720,10,True,0,1991,566,566,0,1.8012672722322796,12.927801212074735,25.885731856640888,12.706976315335734,1.7291188006221723,12.706972056526164,0.012081858141590018,1,1,0.06674076892725107,0.02783715713700321,0.16044046048658983,2.403934852196167,True,True,1.6378706041129145e-14,1.0841599276764049e-14,1.2276878133458423e-14,True,0.06047493661516633,0.36945378526400835,True,A-E|B-F|C-C|D-D|E-A|F-B
vertical-parallelepiped,rectangle-same,180,10,True,32,472,108,108,0,2.2725170150156395,14.501434835524348,21.290551419072237,14.173064411737238,2.715584970012366,14.173018378373955,0.01405164495899669,1,1,0.06651583850020336,0.06371917643815025,0.15864188454706507,2.4004431888250335,True,True,7.95651227888113e-15,3.972054645195637e-15,6.89411847443645e-15,True,0.13651573070173903,0.4182034220705242,True,A-D|B-C|C-A|D-C|E-A|F-B
