pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
rhombus-int,pentagon,78,10,True,0,331,58,58,0,1.7316857777762407,13.780746122362478,23.121511559777495,13.58665916404907,1.5940790063535575,13.58665916404907,1.5987211554602254e-14,2,1,0.05851608749403788,0.027114058191813277,0.1410863753248026,2.411069867567234,True,True,1.3545175902220895e-14,1.2717264309667843e-14,4.6629367034256575e-15,True,0.0888732057210834,0.44672992321618066,True,A-B|B-C|B-E|C-A|C-D|D-E
pentagon,two-triangles,360,10,True,0,1304,252,252,0,1.6227791106265372,13.59311409336735,24.608667009373658,13.404448741774871,1.539077085350537,13.404448741774871,1.4210854715202004e-14,1,1,0.05829835838583659,0.04881569641747407,0.14106549039817384,2.419716340287984,True,True,6.285030275855648e-15,5.375417392317603e-15,3.256761186637967e-15,True,0.08417006367026594,0.42159434034221743,True,A-B|B-F|C-C|D-D|E-A|E-E
2X3,vertical-parallelepiped,720,10,True,112,2005,474,474,0,1.578163585984133,13.51687944476524,24.045473600288126,13.282094020826568,2.1196205513309323,13.282094020826568,1.4210854715202004e-14,1,1,0.05820881828779371,0.05797058629143102,0.13944826864223867,2.3956553791005364,True,True,1.1891312680308527e-14,1.1408858372399359e-14,3.352800008858181e-15,True,0.20327483498624505,0.4179157688864527,True,A-F|B-D|C-E|D-A|E-C|F-B
2X3,2X3,720,10,True,268,501,411,411,0,1.5502184759251918,13.637155476251728,22.382843179035543,13.253390308472666,1.9841098293113788,13.253390308472666,1.5987211554602254e-14,4,1,0.05817548479721026,0.073232155897915,0.13908605339391125,2.3908017935517223,True,True,1.656875357463295e-14,5.617333549722722e-15,1.5587468005037626e-14,True,0.25844270592928886,0.4499078879065762,True,A-D|B-F|C-A|D-B|E-E|F-C
rhombus-int,two-triangles,180,10,True,24,845,102,102,0,1.8757412156431568,13.848550042987991,23.733445091730555,13.728014206354388,1.2872401948442556,13.728014206354388,1.2434497875801753e-14,1,1,0.057562169172420685,0.0237412086819477,0.1395667484250099,2.4246262854854232,True,True,1.0248495841941863e-14,4.092732204437525e-15,9.395808114529564e-15,True,0.22887403963028954,0.48728827906722066,True,A-B|B-A|B-E|C-C|C-F|D-D
vertical-parallelepiped,rectangle-same,180,10,True,32,469,108,108,0,1.7418598097635067,14.228529184721404,21.278328751145633,13.694255417835022,2.468569969068599,13.694255417835022,1.5987211554602254e-14,2,1,0.057370550375192626,0.06112974648221532,0.13590061509819076,2.382984391506482,True,True,9.020583425496912e-15,7.641823734863717e-15,4.793063252412088e-15,True,0.1645067030490522,0.32651322683833955,True,A-D|B-A|C-A|D-B|E-C|F-C
base-trapezoid,rectangle-opposite,78,10,True,0,236,56,56,0,2.129994476301811,12.78491885556921,25.363797129309447,12.545461792060989,2.869541136095889,12.545461792060989,1.7763568394002505e-14,2,1,0.057216000232865244,0.06195709708703599,0.14769934387189435,2.5814342713710854,True,True,6.007158793888272e-15,2.227763199644762e-15,5.578801654593729e-15,True,0.07158729808419431,0.3892155522973273,True,A-A|B-B|B-D|C-C|D-D|E-A
3X2,hexagon,720,10,True,96,2106,466,466,0,1.558715203606593,13.980695855177071,23.930703702450028,13.902065089593865,1.252480623918979,13.902065089593865,1.4210854715202004e-14,1,1,0.05691420670574089,0.018593766836887297,0.13783241377370856,2.4217576199617925,True,True,7.555534679663192e-15,5.804367123395521e-15,4.836881908051755e-15,True,0.07794866200597654,0.4447467282831025,True,A-C|B-E|C-B|D-F|E-A|F-D
3X2,rectangle-opposite,180,10,True,76,110,92,92,0,3.4752159838727588,13.772172050889202,23.09367386958086,13.517173759631905,1.5959995307949892,13.517173759631905,1.4210854715202004e-14,1,1,0.05685694674232465,0.03754049021234279,0.1362492115832714,2.3963511829214474,True,True,1.3538308370609913e-14,7.49182384453384e-15,1.1276451969489367e-14,True,0.2109049486478791,0.36898991146262244,True,A-D|B-A|C-D|D-A|E-B|F-C
2X3,rectangle-opposite,180,10,True,72,146,94,94,0,1.7440797692646874,13.561982478045607,22.411703223485606,13.40252324447594,2.233406099365876,13.40252324447594,1.4210854715202004e-14,2,1,0.05670403978572283,0.07189741529087794,0.13481131864949994,2.3774552775945827,True,True,7.542587248831656e-15,6.438052198618851e-15,3.9296445506046544e-15,True,0.25844270592928886,0.4179157688864527,True,A-D|B-D|C-A|D-A|E-B|F-C
